Pvä;Korkein;Matalin;Päätös;Keskimääräinen;Kok.volyymi;Liikevaihto
12.1.2007;2892,04;2866,76;2882.39;0;;1038536075
11.1.2007;2876,02;2834,9;2876.02;0;;1502866007
10.1.2007;2855,49;2818,94;2834.9;0;;1383045984
9.1.2007;2869,58;2840,32;2855.58;0;;1217821185
8.1.2007;2853,98;2829,11;2840.26;0;;1029034163
5.1.2007;2871,56;2824,33;2831.09;0;;1670377427
4.1.2007;2914,4;2852,58;2871.63;0;;1159246402
3.1.2007;2938,98;2892,09;2914.47;0;;1075078536
2.1.2007;2940,57;2909,74;2938.43;0;;524828390
29.12.2006;2921,95;2908,49;2910.49;0;;302601765
28.12.2006;2921,8;2907,62;2913.66;0;;362911633
27.12.2006;2919,37;2886,39;2919;0;;314300866
22.12.2006;2891,17;2882,12;2886.39;0;;529339551
21.12.2006;2902,29;2885,18;2888.8;0;;759713512
20.12.2006;2899,55;2881,1;2894.03;0;;713900922
19.12.2006;2911,36;2870,74;2878.81;0;;877287957
18.12.2006;2914,43;2894,5;2911.34;0;;881844350
15.12.2006;2900,96;2876,34;2899.11;0;;1278763132
14.12.2006;2885,83;2857,05;2876.61;0;;1051116185
13.12.2006;2877,62;2858,07;2876.21;0;;1052564689
12.12.2006;2867,47;2838,69;2867.47;0;;1145672546
11.12.2006;2850,87;2826,11;2843.55;0;;842484062
8.12.2006;2838;2801,46;2826.09;0;;813900258
7.12.2006;2840,22;2805,51;2838.22;0;;1131811297
5.12.2006;2811,79;2769,51;2811.29;0;;1089101229
4.12.2006;2779,7;2755,18;2769.11;0;;840981251
1.12.2006;2791,27;2749,77;2764.32;0;;1021108309
30.11.2006;2806,09;2771,46;2772.21;0;;1213037219
29.11.2006;2804,5;2750,77;2804.47;0;;1053616551
28.11.2006;2773,34;2735,75;2751.13;0;;1603544065
27.11.2006;2828,42;2767,69;2770.5;0;;1041698473
24.11.2006;2855,92;2816,58;2828.64;0;;1015616726
23.11.2006;2865,57;2847,24;2854.46;0;;743132561
22.11.2006;2865,94;2830,99;2851.45;0;;1418323512
21.11.2006;2833,91;2813,14;2830.97;0;;962832443
20.11.2006;2816;2788,81;2814.56;0;;841743619
17.11.2006;2841,34;2804,97;2813.56;;;916221747
16.11.2006;2846,26;2831,44;2838.53;;;849338508
15.11.2006;2842,17;2809,54;2842.04;;;1416329299
14.11.2006;2815,08;2791,43;2809.67;;;828448064
13.11.2006;2801,04;2784,6;2791.43;;;722712130
10.11.2006;2805,6;2780,8;2794.27;;;893874144
9.11.2006;2818,99;2776,11;2805.64;;;1251319228
8.11.2006;2778,33;2759,49;2776.11;0;;874223881
7.11.2006;2778,93;2754,6;2778.33;;;885755883
6.11.2006;2757,18;2715,45;2755.49;;;737613391
3.11.2006;2723,27;2704,59;2715.59;;;825405005
2.11.2006;2745,48;2695,36;2711.04;;;1075415521
1.11.2006;2755,54;2741,28;2745.19;;;902822093
31.10.2006;2757,95;2740,42;2752.84;;;968123008
30.10.2006;2758,2;2718,7;2744.27;;;894474809
27.10.2006;2763,38;2745,15;2758.2;;;1041806817
26.10.2006;2780,04;2746,8;2749.06;;;1310847730
25.10.2006;2763,61;2744,36;2746.8;;;1082895729
24.10.2006;2756,62;2745,29;2754.64;;;1103491121
23.10.2006;2749,9;2722,53;2746.72;;;884471602
20.10.2006;2750,92;2730,02;2740.39;;;1348361455
19.10.2006;2739,19;2716,85;2737.78;;;3733404925
18.10.2006;2747,49;2683,27;2734.55;0;;1701706995
17.10.2006;2719,01;2681,14;2686.04;;;969265203
16.10.2006;2718,69;2694,27;2717.56;;;719083323
13.10.2006;2705,76;2683,68;2694.27;;;784583551
12.10.2006;2692,1;2665,7;2691.73;;;988209046
11.10.2006;2668,45;2643,74;2667.05;;;1189288274
10.10.2006;2656,49;2622,25;2653.61;;;1142845508
9.10.2006;2623,95;2603,07;2622.29;;;553272273
6.10.2006;2614,45;2597,92;2607.58;;;897451503
5.10.2006;2607,62;2571,72;2606.89;;;996908922
4.10.2006;2585,49;2564,96;2571.86;;;958175117
3.10.2006;2589,15;2556,67;2578.04;;;1004864252
2.10.2006;2599,54;2574,53;2588.92;;;854175477
29.9.2006;2597,8;2583,16;2594.49;0;;902324743
28.9.2006;2589,06;2571,49;2589.02;;;995433929
27.9.2006;2579,77;2533,44;2575.14;;;1089719192
26.9.2006;2537,09;2503,97;2532.66;;;982294222
25.9.2006;2537,65;2496,83;2501.92;;;804789717
22.9.2006;2567,3;2531,78;2532.98;;;814255311
21.9.2006;2576,56;2558,25;2569.82;;;1090669386
20.9.2006;2560,93;2539,93;2560.86;;;1085913690
19.9.2006;2567,24;2546,49;2550.08;;;978997620
18.9.2006;2566,06;2550,19;2558.78;;;932246793
15.9.2006;2566,96;2542,25;2559.07;;;1673414060
14.9.2006;2569,5;2540,37;2553.4;;;1232234144
13.9.2006;2549,09;2531,96;2548.8;;;879971180
12.9.2006;2530,74;2497,71;2530.69;;;1361793256
11.9.2006;2515,65;2488,07;2498.7;;;743197346
8.9.2006;2522,7;2500,16;2516.12;0;;1086838028
7.9.2006;2529,64;2495,75;2500.83;;;1162393170
6.9.2006;2563,17;2526,84;2532.95;;;1447589012
5.9.2006;2575,79;2555,36;2563.17;;;1066087377
4.9.2006;2579,66;2560,79;2576.11;0;;652844317
1.9.2006;2568,67;2555,31;2560;;;1191429769
31.8.2006;2578,17;2556,64;2564.62;0;;843544970
